date,p50 deploy/adservice,p50 deploy/cartservice,p50 deploy/checkoutservice,p50 deploy/currencyservice,p50 deploy/emailservice,p50 deploy/frontend,p50 deploy/paymentservice,p50 deploy/productcatalogservice,p50 deploy/recommendationservice,p50 deploy/redis-cart,p50 deploy/shippingservice,p95 deploy/adservice,p95 deploy/cartservice,p95 deploy/checkoutservice,p95 deploy/currencyservice,p95 deploy/emailservice,p95 deploy/loadgenerator,p95 deploy/paymentservice,p95 deploy/productcatalogservice,p95 deploy/recommendationservice,p95 deploy/redis-cart,p95 deploy/shippingservice,p99 deploy/adservice,p99 deploy/cartservice,p99 deploy/checkoutservice,p99 deploy/currencyservice,p99 deploy/emailservice,p99 deploy/frontend,p99 deploy/loadgenerator,p99 deploy/paymentservice,p99 deploy/productcatalogservice,p99 deploy/recommendationservice,p99 deploy/redis-cart,p99 deploy/shippingservice,🔒deploy/adservice,🔒deploy/cartservice,🔒deploy/checkoutservice,🔒deploy/currencyservice,🔒deploy/emailservice,🔒deploy/frontend,🔒deploy/paymentservice,🔒deploy/productcatalogservice,🔒deploy/recommendationservice,🔒deploy/shippingservice,p95 deploy/frontend
2021-10-07 09:18:00,93.14197530864183,-1.3976738994231568,0.3921568627450981,0.27407728147719046,-0.6666666666666671,0.21544685242518072,-0.3535353535353539,-0.18254642126746534,0.5439005439005435,0.0,0.48857142857142594,60.157407407408094,-0.08689655172413814,-0.07499999999999998,0.31211116925402643,-0.9818181818181815,-1.0,-0.142857142857144,-0.18254642126746484,-0.008988764044939574,0.0,-0.07874015748031575,16.812260536398476,-0.005833612968173172,-0.015,0.12967778685885328,-0.9966101694915255,-0.27025089605734903,-1.0000000000000002,-0.02127659574468083,-0.3115883955377028,-0.0001321416093945125,0.0,0.030555555555556425,0.0,-0.011235955056179837,0.49999999999999994,-0.07717041800643093,-0.4999999999999999,0.0,-0.24999999999999992,-0.0042826552462527385,0.016392394689395268,-0.04338827763813955,-0.27383384031737656
2021-10-07 09:18:05,69.73456790123447,0.3460200635176706,0.0,0.27407728147719046,-0.5,0.21544685242518072,-0.3535353535353539,-0.02440604415745232,0.5439005439005435,0.0,0.48857142857142594,18.347883597883826,0.1034482758620688,-0.9499999999999997,0.31211116925402643,-0.9272727272727266,0.4999999999999998,-0.142857142857144,-0.024406044157457795,-0.008988764044939574,0.0,-0.07874015748031575,0.6995073891625668,1.0545986759816677e-16,-0.99,0.12967778685885328,-0.9864406779661016,-0.27025089605734903,0.4999999999999999,-0.02127659574468083,0.1613701001607404,-0.0001321416093945125,0.0,0.030555555555556425,-0.03635940629691693,0.011235955056179737,0.0,-0.07717041800643093,0.0,0.0,-0.24999999999999992,-0.05781584582441121,0.016392394689395268,-0.04338827763813955,-0.27383384031737656
2021-10-07 09:18:10,69.73456790123447,0.3460200635176706,0.0,0.259351044144859,-0.5,0.11340350877192952,1.0101010101010102,-0.02440604415745232,-0.37529137529137424,0.0,0.5785714285714298,18.347883597883826,0.1034482758620688,-0.9499999999999997,0.43746729461015454,-0.9272727272727266,0.4999999999999998,1.214285714285715,-0.024406044157457795,0.6352059925093679,0.0,-0.04724409448818662,0.6995073891625668,1.0545986759816677e-16,-0.99,0.638073655794147,-0.9864406779661016,-0.285543608124255,0.4999999999999999,1.0319148936170228,0.1613701001607404,0.23161781294678377,0.0,0.5916666666666689,-0.03635940629691693,0.011235955056179737,0.0,-0.03215434083601286,0.0,-0.03296703296703294,0.0,-0.05781584582441121,-0.16392394689395168,-0.08695047361534355,-0.41827629280930884
2021-10-07 09:18:15,59.0061728395061,-0.696225853610149,0.44117647058823517,0.259351044144859,-0.20000000000000023,0.11340350877192952,1.0101010101010102,-0.302313537506345,-0.37529137529137424,0.0,0.5785714285714298,15.824074074074279,0.19999999999999915,0.00833333333333314,0.43746729461015454,-0.1636363636363644,0.0,1.214285714285715,-0.3023135375063409,0.6352059925093679,0.0,-0.04724409448818662,2.3869731800766365,-0.0070037772213760625,0.001666666666666856,0.638073655794147,-0.030508474576271583,-0.285543608124255,0.0,1.0319148936170228,-0.31332346967044583,0.23161781294678377,0.0,0.5916666666666689,-0.12725792203920938,0.011235955056179737,0.24999999999999997,-0.03215434083601286,0.75,-0.03296703296703294,0.0,-0.0042826552462527385,-0.16392394689395168,-0.08695047361534355,-0.41827629280930884
2021-10-07 09:18:20,59.0061728395061,-0.696225853610149,0.44117647058823517,0.12603188632148926,-0.20000000000000023,0.11527485380116954,0.555555555555555,-0.302313537506345,-0.6043822843822846,0.0,-0.5374285714285693,15.824074074074279,0.19999999999999915,0.00833333333333314,0.13303099017384765,-0.1636363636363644,0.0,0.04761904761904726,-0.3023135375063409,-0.13063670411985095,0.0,-0.6532283464566906,2.3869731800766365,-0.0070037772213760625,0.001666666666666856,0.18567501300245096,-0.030508474576271583,-0.0878136200716853,0.0,0.007092198581559839,-0.31332346967044583,-0.0007759355303648155,0.0,0.00833333333333292,-0.12725792203920938,0.011235955056179737,0.24999999999999997,-0.19935691318327983,0.75,-0.12087912087912082,0.25,-0.0042826552462527385,-0.04917718406818552,0.13042571042301515,0.21860072404260886
2021-10-07 09:18:25,54.87986704653364,0.18993492617002553,-0.26960784313725494,0.12603188632148926,-0.5,0.11527485380116954,0.555555555555555,-0.027101466957757225,-0.6043822843822846,0.0,-0.5374285714285693,17.49074074074096,73.26206896551699,0.0,0.13303099017384765,0.1636363636363634,0.0,0.04761904761904726,-0.0271014669577579,-0.13063670411985095,0.0,-0.6532283464566906,0.9961685823754843,2.280271546939938,0.0,0.18567501300245096,0.030508474576270955,-0.0878136200716853,0.0,0.007092198581559839,-0.13746341865546494,-0.0007759355303648155,0.0,0.00833333333333292,-0.21815643778150182,-0.25842696629213496,-0.2500000000000001,-0.19935691318327983,-0.7499999999999998,-0.12087912087912082,0.25,-0.22698072805139194,-0.04917718406818552,0.13042571042301515,0.21860072404260886
2021-10-07 09:18:30,54.87986704653364,0.18993492617002553,-0.26960784313725494,0.3841261574759016,-0.5,0.026601889338731356,-0.8080808080808084,-0.027101466957757225,0.6004662004661998,0.0,1.6285714285714274,17.49074074074096,73.26206896551699,0.0,0.3935112506541083,0.1636363636363634,0.0,-1.2857142857142871,-0.0271014669577579,-0.002996254681648441,0.0,1.433070866141737,0.9961685823754843,2.280271546939938,0.0,0.026525001857490748,0.030508474576270955,0.9462365591397873,0.0,-1.0425531914893629,-0.13746341865546494,-0.00010042762313986397,0.0,0.6305555555555575,-0.21815643778150182,-0.25842696629213496,-0.2500000000000001,-0.17363344051446952,-0.7499999999999998,-0.1648351648351648,-0.7499999999999998,-0.22698072805139194,-0.13113915751516136,-0.3912771312690456,0.1734232410738
2021-10-07 09:18:35,60.956790123456706,-1.6121389322982331,-0.2720588235294118,0.3841261574759016,-0.7500000000000003,0.026601889338731356,-0.8080808080808084,-0.22438352045666018,0.6004662004661998,0.0,1.6285714285714274,33.49074074074101,-0.1379310344827592,-1.7824999999999995,0.3935112506541083,0.054545454545454244,0.0,-1.2857142857142871,-0.224383520456654,-0.002996254681648441,0.0,1.433070866141737,30.605363984674316,-0.009490376259432217,-1.8765,0.026525001857490748,0.01016949152542386,0.9462365591397873,0.0,-1.0425531914893629,-0.3121944923602011,-0.00010042762313986397,0.0,0.6305555555555575,-0.07271881259383393,-0.13483146067415736,-0.7500000000000002,-0.17363344051446952,-0.24999999999999992,-0.1648351648351648,-0.7499999999999998,-0.18629550321199154,-0.13113915751516136,-0.3912771312690456,0.1734232410738
2021-10-07 09:18:40,60.956790123456706,-1.6121389322982331,-0.2720588235294118,1.3203325883738253,-0.7500000000000003,0.13542780026990542,0.10101010101010112,-0.22438352045666018,-0.8419580419580421,0.0,0.09395604395604724,33.49074074074101,-0.1379310344827592,-1.7824999999999995,2.632478632478635,0.054545454545454244,0.0,4.071428571428574,-0.224383520456654,14.20823970037469,0.08999999999999994,-0.267716535433068,30.605363984674316,-0.009490376259432217,-1.8765,12.392579108568423,0.01016949152542386,2.852847471127054,0.0,3.15957446808511,-0.3121944923602011,0.5317906928474649,0.09,-0.0027777777777767353,-0.07271881259383393,-0.13483146067415736,-0.7500000000000002,-0.17041800643086824,-0.24999999999999992,-0.07692307692307693,0.0,-0.18629550321199154,-0.09835436813637104,0.2173761840383587,6.56352722099492
2021-10-07 09:18:45,52.179012345678956,0.1216476785804318,0.0,1.3203325883738253,-0.6666666666666671,0.13542780026990542,0.10101010101010112,5.593598382807262,-0.8419580419580421,0.0,0.09395604395604724,177.49074074074295,598.7793103448264,-0.17499999999999996,2.632478632478635,0.1090909090909095,-1.0000000000000002,4.071428571428574,64.73032297753021,14.20823970037469,0.08999999999999994,-0.267716535433068,10.49808429118775,4.861516223122793,-0.035,12.392579108568423,0.020338983050847095,2.852847471127054,-1.0000000000000002,3.15957446808511,1.6077243312311844,0.5317906928474649,0.09,-0.0027777777777767353,-0.29087525037533574,-0.11235955056179778,0.0,-0.17041800643086824,-0.4999999999999999,-0.07692307692307693,0.0,-0.023554603854389757,-0.09835436813637104,0.2173761840383587,6.56352722099492
